id,name,ml_target,most_common_language
0,Eiryyy,0,JavaScript
2,JpMCarrilho,1,Jupyter Notebook
3,SuhwanCha,0,Dart
4,sunilangadi2,1,Python
5,j6montoya,0,JavaScript
6,sfate,0,Shell
7,amituuush,0,HTML
8,mauroherlein,0,JavaScript
10,llazzaro,0,Python
11,beeva-manueldepaz,0,JavaScript
12,damianmuti,0,JavaScript
13,apobbati,0,Shell
14,hwlv,0,JavaScript
15,haroldoramirez,0,JavaScript
16,jasonblanchard,0,JavaScript
17,BahiHussein,0,JavaScript
21,tiensonqin,0,JavaScript
22,pdokas,0,JavaScript
23,maxfierke,0,Shell
24,davidthewatson,0,Python
25,kidbai,0,JavaScript
28,ashphy,0,CSS
29,soberanes,0,PHP
30,rajatpatel2113,0,HTML
31,ehlxr,0,Go
32,city292,1,Python
33,riverphoenix,1,Python
34,AnqiYang,1,Python
35,CN-Sean,0,JavaScript
36,Myoursky,0,JavaScript
37,ariepratama,1,Jupyter Notebook
38,linjunpop,0,Ruby
39,MLoughry,0,TypeScript
41,kmiladi,0,PHP
46,ngothanhtai,0,Objective-C
47,diluga,0,Shell
48,ForrestPi,0,Python
49,sorenbouma,1,Python
50,th3brink,0,JavaScript
51,damianlajara,0,JavaScript
52,DQNEO,0,C
53,carloseberhardt,0,JavaScript
54,moraispgsi,0,JavaScript
56,TarrySingh,1,Python
57,gideonheilbron,0,JavaScript
58,roalcantara,0,JavaScript
59,novinsh,1,Python
60,XiaocongDong,0,JavaScript
61,muhammadfaizan,0,JavaScript
62,bigzhao,1,Python
63,guillecro,0,JavaScript
64,7772,0,JavaScript
65,paranoiasystem,0,JavaScript
67,jasperblues,0,Shell
68,ogirginc,0,Ruby
69,shogochiai,0,JavaScript
70,TinaBryan,0,HTML
71,iksnae,0,JavaScript
72,mafellows,1,Solidity
73,kentcdodds,0,JavaScript
74,DennisWanjiru,0,HTML
75,rupesh1310,0,JavaScript
76,ayberkanilatsiz,0,JavaScript
77,fangying,1,Shell
78,rozentill,1,Python
79,talentkeychen,1,Python
80,lilosir,0,JavaScript
81,g8up,0,JavaScript
82,shz2050,0,Objective-C
83,Bjoux2,1,Python
84,MasihKarimi,0,HTML
86,milon,0,PHP
87,fernandojsg,0,JavaScript
88,keyvanakbary,0,HTML
89,MarcoCabazal,0,Ruby
90,hisrg,1,Python
91,timmo001,0,Dockerfile
92,AD7six,0,PHP
94,starkwang,0,JavaScript
96,stoprocent,0,JavaScript
97,pmn,0,JavaScript
98,aviflax,0,Clojure
99,paulgureghian,1,Jupyter Notebook
100,Silic0nS0ldier,0,JavaScript
101,mingkin,1,Python
102,ferschke,1,Java
103,git-kale,1,Makefile
104,helexy22,1,Python
105,rioastamal,0,PHP
106,jvperrin,0,Shell
107,iblancasa,0,Shell
108,HYPJUDY,1,Python
109,ellenmellon,1,Python
110,qingbusheng,0,Shell
111,luizjr,0,Shell
112,pikanglong,0,Python
113,JohnMars,0,Kotlin
114,maurodelazeri,0,Swift
116,myedibleenso,0,Python
118,jicjjang,0,JavaScript
119,denysdovhan,0,JavaScript
121,thiennn,0,C#
122,paulhuisman,0,JavaScript
123,quraisahamid,0,PHP
124,gsw945,0,Python
125,Deardrops,0,Go
126,Rajat2712,1,Jupyter Notebook
127,adichad,1,HTML
128,stephanedenis,0,C++
129,thrifus,0,Shell
131,razbakov,0,JavaScript
132,sawyes,0,Shell
133,h3nnn4n,1,Python
135,moeinrahimi,0,JavaScript
136,forhadulislam,0,HTML
137,neu-rah,0,C++
139,Marthyn,0,Ruby
140,flavorjones,0,Ruby
141,davidyell,0,PHP
143,rafaelcamaram,0,JavaScript
144,smamran,0,C++
145,anayini,1,Swift
146,hunkyu,1,C++
148,elPandaFriki,0,JavaScript
149,stefanhendriks,0,Shell
151,samehkamaleldin,0,Python
152,GuanlinLee,1,Python
154,fuse-mars,0,JavaScript
155,dimgold,1,Jupyter Notebook
156,AndreiRailean,0,JavaScript
157,dongrenguang,0,JavaScript
158,LiXiuhong,1,Cuda
159,minrk,0,Python
160,sureshsarda,0,Java
162,alethea,0,Ruby
163,banixc,0,C++
164,besquared,0,Ruby
165,BlackDante,0,JavaScript
166,mohanarunachalam,1,Python
168,LeonardoCardoso,0,Java
169,ascode,0,JavaScript
170,jakobsandberg,1,JavaScript
171,asinbow,0,Shell
173,anilkunwar,1,Python
174,bushidocodes,0,JavaScript
175,davegomez,0,JavaScript
176,SecureCloud-biz,0,JavaScript
177,ibnujakaria,0,JavaScript
178,Joe8Bit,0,JavaScript
179,frankodoom,0,HTML
181,sjwilliams,0,JavaScript
182,YunzhuLi,1,Python
183,chenlongqiang,0,PHP
184,surunzi,0,JavaScript
185,poudel,0,Python
186,Daaaaad,0,PHP
187,boxabirds,1,Python
188,Graphettion,0,JavaScript
189,szenekonzept,0,Python
190,nicolsc,0,JavaScript
191,Kingson4Wu,0,Go
195,r3dcrosse,0,JavaScript
196,amoose136,1,Python
197,osmangoninahid,0,JavaScript
200,thierrymichel,0,JavaScript
202,saeedtabrizi,0,JavaScript
203,mikaelkaron,0,JavaScript
204,Solicite,0,JavaScript
205,F36,1,Python
206,chenxuhao,1,C++
209,thisismydesign,1,Shell
210,summerwang0915,0,JavaScript
212,jiangxtx,0,JavaScript
213,hanyeliu,1,Python
214,lijiannuist,1,Python
215,AghilesAzzoug,1,Python
217,SeanJia,1,Python
219,ahmedalaahagag,0,HTML
220,chenxy99,1,Python
221,Cristian006,0,JavaScript
222,dedevillela,0,JavaScript
225,caddyliu,0,HTML
226,rdspring1,1,Python
228,Drunkar,0,Python
229,rousseauo,0,JavaScript
230,rqbazan,0,JavaScript
231,iamnapo,0,JavaScript
232,cowlicks,1,Python
233,ed-george,0,Java
234,tessavdheiden,1,Python
235,juliotorresmoreno,0,JavaScript
236,mfilej,0,Ruby
237,MilindaLaknath,1,HTML
238,antonov,0,TypeScript
239,hjanime,1,R
241,lazarofl,0,JavaScript
242,lmm0591,0,JavaScript
243,mattdennewitz,0,Python
244,Gdewilde,0,JavaScript
245,ZhengshengWei,1,Python
246,petitspois,0,JavaScript
247,lymhust,1,Lua
248,suliang,0,HTML
250,olohmann,0,Shell
252,mar-bi,0,JavaScript
253,kaochenlong,0,HTML
254,herbat73,0,C#
255,ihorzenich,0,HTML
256,jlilja,0,Shell
257,gon250,0,JavaScript
258,loic-sharma,0,C#
259,GTmac,1,Python
260,apetresc,1,Python
261,nicktoumpelis,0,Objective-C
262,dweekly,1,JavaScript
263,brandon-beacher,0,Ruby
264,luismendozamx,0,JavaScript
266,anilozmen,0,JavaScript
267,prashanthbasani,1,Python
268,rodionovp,1,Shell
269,naupaka,0,HTML
270,not-for-me,0,HTML
271,jmgirard,1,R
272,ecrider,0,JavaScript
273,ding-hai,1,C
274,rkyymmt,0,Shell
275,guillaumerose,0,Go
276,nevernet,0,JavaScript
277,priyatam,0,JavaScript
278,ganesharulanantham,0,JavaScript
279,justein,1,HTML
280,eoinsha,0,JavaScript
281,skyhitblog,0,JavaScript
283,alberto-hortelano,0,JavaScript
284,felipesabino,0,JavaScript
285,saifeiLee,0,Shell
286,Guzpenha,1,Python
287,a-dabrowski,0,HTML
288,AotY,0,Python
289,scanfyu,1,Python
290,thunderrun,0,JavaScript
291,splorp,0,CSS
292,actionsmile,0,ActionScript
293,johngriffin,1,JavaScript
294,felixhorro,0,JavaScript
295,larc000,0,No languages detected
296,arashm,0,JavaScript
298,akatrevorjay,0,Shell
300,levindoneto,0,Python
301,milesgranger,0,Python
305,cakecatz,0,JavaScript
306,stringariSM,0,HTML
307,liuganggang,0,Ruby
308,kinvix,0,JavaScript
309,MarkBennett,0,JavaScript
310,mafairnet,0,JavaScript
311,davequick,0,JavaScript
312,carolove,1,Go
314,jordanpapaleo,0,JavaScript
315,soutik,1,Jupyter Notebook
316,dmente03,0,HTML
317,stevenlr,0,C
318,ebertti,0,Python
319,lsd,0,Ruby
320,miho,0,Java
321,javiercejudo,0,JavaScript
322,seik,0,Python
323,romanslonov,0,JavaScript
324,Liweimin0512,0,GDScript
325,Jyothsnasrinivas,1,Haskell
326,boneskull,0,JavaScript
327,artisonian,0,JavaScript
328,jkusachi,0,JavaScript
329,RodrigoCS,0,JavaScript
330,kgaut,0,PHP
331,MrShininnnnn,1,Python
332,TrueMoein,0,JavaScript
333,aoberoi,0,JavaScript
336,keilw,0,Java
338,bukosabino,1,Python
339,jack4it,0,JavaScript
340,FrontMage,0,JavaScript
341,arrygoo,0,JavaScript
344,Torreshan,1,Python
345,penberg,0,Shell
346,hallahan,0,JavaScript
347,gravataLonga,0,PHP
348,SabraAS,0,JavaScript
349,alvimm,0,HTML
350,Kirschn,0,JavaScript
352,leonardothibes,0,Shell
353,adesege,0,JavaScript
354,bikingbadger,0,JavaScript
355,hackerxiaobai,1,Python
357,gberger,0,JavaScript
359,mapninja,1,HTML
360,jgw96,0,JavaScript
361,Tomotoes,0,JavaScript
362,aalises,0,JavaScript
364,keepfit,0,Java
365,Perfect-Web,0,Shell
366,Polkas,1,R
367,alexandersvozil,1,C
368,Arthraim,0,Ruby
369,nmadapan,1,Python
370,rheech,1,Java
371,chosenvictim,0,JavaScript
372,chrisgillis,0,Go
373,WhoIsJack,1,Jupyter Notebook
374,latelee,1,Makefile
376,novemberde,0,JavaScript
377,lyzzard,0,JavaScript
378,JasonEtco,0,JavaScript
379,paincompiler,1,Shell
382,samsonchen1989,0,C++
383,Separius,1,Python
384,cnjsstong,0,JavaScript
385,benschaaf,0,Nunjucks
386,baishali-ghosh,0,JavaScript
387,markui,0,Python
388,AbdallahMezo,0,JavaScript
389,skrosoft,0,PHP
390,humblem2,1,Python
391,mattcontet,0,Makefile
392,qyz777,1,Swift
393,guilleiguaran,0,Ruby
394,kripaz777,1,Jupyter Notebook
395,sturmenta,0,JavaScript
396,jensjns,0,JavaScript
397,syy,0,JavaScript
399,kyohei8,0,JavaScript
400,28,1,Shell
401,MrGemy95,1,Python
402,anggagewor,0,PHP
403,maggit,0,Ruby
404,mateuszszklarek,0,Ruby
406,reyuwei,1,Python
407,rodnylobos,0,CSS
409,sourishkrout,0,JavaScript
410,ZhaoZeyu1995,1,Python
412,cheh,0,No languages detected
413,paulsmith,0,Go
414,DrDarbin,1,Python
415,SchabrechtsK,0,HTML
416,92bondstreet,0,JavaScript
417,animesh-chouhan,1,Python
418,reemardelarosa,0,HTML
419,mishrarohit,0,JavaScript
420,QhelDIV,1,Python
421,iskandr,1,Python
422,Sublio,0,Objective-C
423,hongyanh,0,JavaScript
424,Jywud,0,JavaScript
425,montyanderson,0,JavaScript
426,glacials,0,JavaScript
427,PursueHappinessDirectly,1,Jupyter Notebook
428,nim4n136,0,HTML
429,Fuhongshuai,1,Python
430,cjf00000,1,Python
432,jaggy,0,PHP
433,jarek-przygodzki,0,Java
434,deepakrana47,1,Python
435,dcanones,1,Python
436,mxl,0,Shell
437,ramsaylanier,0,JavaScript
438,TAmbition,1,Swift
439,oknoorap,0,JavaScript
440,igeligel,0,JavaScript
441,MarshalLeeeeee,1,Python
442,dridk,1,Python
443,ryanrushing,0,No languages detected
445,marcoacierno,0,Python
446,sandy183,0,Objective-C
448,sonfordson,0,PHP
449,nobillowseagit,0,HTML
450,shaddygarg,1,HTML
451,SummerRC,0,Java
452,daviddias,0,JavaScript
453,MarkPolivchuk,0,Shell
454,gathuku,0,HTML
455,ekospinach,0,JavaScript
457,olarclara,0,HTML
458,guiguan,0,JavaScript
459,suchov,0,JavaScript
460,clintonyeb,0,JavaScript
461,amelnychuck,1,CSS
462,modernmedici,1,HTML
463,Harshit369,0,JavaScript
465,Vallista,0,HTML
466,mevinbabuc,0,Python
467,lukedeo,1,Python
468,SUTFutureCoder,0,PHP
469,luangjokaj,0,JavaScript
471,octopitus,0,JavaScript
472,davidalvarezdlt,1,Python
473,leilaapsilva,1,HTML
474,liqisa,1,Python
475,llvieira,1,HTML
476,Lanselott,1,Python
477,Caryyon,0,JavaScript
478,Tuccuay,1,Objective-C
481,kkoscielniak,0,JavaScript
482,alwaysandeep,1,Jupyter Notebook
483,Fibonacci43,1,C++
484,adriantodorov,0,JavaScript
486,lytkarinskiy,1,Python
487,naftulikay,1,Makefile
488,Rock610,1,Java
489,TamerShlash,0,Ruby
492,debMan,1,Shell
493,BeshoyHindy,0,C#
494,chokcoco,0,JavaScript
495,scottksmith95,0,C#
497,rewinfrey,0,Shell
498,jbpros,0,JavaScript
499,rchaser53,0,JavaScript
501,cupnoodle,0,HTML
502,iwanao731,1,C++
505,pskun,1,C++
506,shashankg7,1,Python
507,okeeffed,0,JavaScript
508,angelbotto,0,CSS
511,olofd,0,JavaScript
512,DEDZTBH,0,Python
513,shidalin,0,Java
515,bartek,0,Python
516,mo3rfan,0,JavaScript
517,numan947,1,Python
518,kevin-zqw,0,Java
519,apengwin,1,Python
520,schaechinger,0,JavaScript
521,sbarman-mi9,1,Python
522,mikedfunk,0,PHP
524,melitus,0,JavaScript
526,manerfan,0,JavaScript
527,joegichuru,0,Java
528,tiennan,0,JavaScript
529,ahsanatha,1,Python
530,chintan39,0,JavaScript
531,ahmed-hamdy90,0,HTML
532,daicoolb,0,Python
533,Kev8144,0,JavaScript
534,christofs,1,HTML
535,didikz,0,PHP
537,mrfrkayvaz,0,JavaScript
538,ACERY1,0,JavaScript
541,naokazuterada,0,JavaScript
542,jhewt,0,JavaScript
543,kyzhouhzau,1,Python
544,one1zero1one,1,C
545,jmlavoier,0,JavaScript
547,JaySon-Huang,1,Python
548,CoderMageFox,0,JavaScript
549,kylemh,0,JavaScript
551,nacika-ins,0,JavaScript
552,ryanrhymes,1,Makefile
553,drewm,0,PHP
554,Rustic-Z,0,Java
555,jizusun,0,HTML
557,pauldix,0,Ruby
559,parthibann,0,Python
560,mjhendrickson,1,R
563,emilyb7,0,JavaScript
564,jack0888,0,JavaScript
565,karthikBalasubramanian,1,Python
566,luckio41,0,HTML
567,avogel3,0,Ruby
568,robertmaxrees,0,JavaScript
569,phbraga,1,Python
570,Cypher1,0,Shell
571,floringogianu,1,Python
572,maxliu,1,Python
573,AakashRaina,0,JavaScript
574,Gideonking,0,HTML
575,ingee,0,JavaScript
576,renanmorais,0,HTML
578,ctsuu,1,Python
579,thuansb,0,HTML
580,odesenvolvedor,0,PHP
581,happyjudy,0,JavaScript
582,aageboi,0,JavaScript
584,leifg,0,Ruby
585,lsantana486,0,Shell
587,lmadhuranga,0,HTML
589,Odaeus,0,Ruby
590,kwarodom,0,Python
591,ndxbn,0,TypeScript
592,nouh,0,C++
593,AndrewRadev,0,Vim Script
594,DayThink,0,Java
595,analistacarlosh,0,JavaScript
597,nicolascbarbosa,0,JavaScript
598,Neo-Zhixing,0,Rust
599,marcoeh,0,JavaScript
600,christabella,0,Python
601,Abmiester,1,Python
602,omerg,0,JavaScript
603,alsemyonov,0,Ruby
604,aixasz,0,C#
605,markoradak,0,JavaScript
606,redrick,0,Ruby
607,gizmosachin,1,Ruby
608,legendtkl,1,Go
609,garora,0,JavaScript
612,luizeof,0,JavaScript
613,Amadeeus,1,C++
614,hades217,0,JavaScript
616,scarletmu,0,JavaScript
617,enrike1983,0,PHP
618,billyma128,0,JavaScript
620,kosilence,0,JavaScript
621,jeftom,0,Java
622,CracKerMe,0,JavaScript
623,adrien2p,0,JavaScript
624,smokja,1,JavaScript
625,aidiss,0,Python
627,sfc9982,1,Shell
628,berkerol,1,HTML
629,AmilKey,0,JavaScript
630,goodev,0,Java
631,okaychen,0,JavaScript
632,oNguyenVanThieu,1,Swift
633,mavriciomart,0,TypeScript
634,kbzone,0,JavaScript
635,tetratorus,0,JavaScript
636,kristoffzoghbi,1,Java
637,progamer,0,PHP
639,tiangolo,0,Python
641,thealphadollar,1,HTML
642,jd-alexander,0,Java
643,shuxiaobo,1,Python
644,theill,0,Ruby
645,DanPurdy,0,JavaScript
646,bwreilly,0,Python
647,ephread,0,JavaScript
649,LikaiLee,0,JavaScript
650,konekoya,0,JavaScript
651,khaldi-yass,0,Java
652,rozsival,0,JavaScript
654,TheNoim,0,JavaScript
655,ipcreator,1,Java
658,fengshenhai-0727,0,JavaScript
659,3van,0,Shell
660,Kapulara,0,JavaScript
661,marceloserpa,0,JavaScript
662,bartvanderwal,0,JavaScript
663,eter5,0,JavaScript
664,Anirudhsekar96,1,Jupyter Notebook
666,bitwater,0,JavaScript
667,asiagood,1,Python
669,kdbeer,0,HTML
671,scaytrase,0,PHP
672,louisun,0,HTML
673,kunmei,1,Python
674,GengDavid,1,Python
675,thegumza,0,Java
677,AaronLeeeee,0,JavaScript
678,julianobailao,0,HTML
679,Jon-Millent,0,JavaScript
680,IObert,0,JavaScript
683,BCasaleiro,1,Python
685,kvnol,0,JavaScript
686,Sumegh-git,1,Python
687,ZhiWenMo,1,Jupyter Notebook
688,ThalesLudwig,0,JavaScript
689,andriyun,0,Shell
690,thakkarparth007,0,HTML
691,ajduke,0,JavaScript
692,KvanTTT,1,C#
693,bootjp,1,Go
694,codertimo,1,Python
695,kiwiupover,0,JavaScript
696,WangLaoK,1,R
697,entendu,0,Shell
698,mach1media,0,Roff
699,kirkegaard,0,JavaScript
700,Comi9,0,JavaScript
701,seninp,1,Python
704,evrial,0,Python
705,Wentaobi,1,Python
706,bhargavvader,1,Python
708,drewroberts,0,PHP
709,jchris,0,JavaScript
710,numanyilmaz,1,Jupyter Notebook
711,Velliz,0,HTML
712,jsalbert,1,Python
713,Microhx,1,Java
714,flyfy1,0,Ruby
715,jlpjavi,0,JavaScript
716,danoc,0,JavaScript
717,bachue,0,Shell
718,jritten,0,JavaScript
719,leogoncalves,0,C
720,evallesv,0,HTML
721,ramilzakirov,0,JavaScript
722,Stayer,0,JavaScript
723,Arkoprabho,1,Java
724,linmiss,0,JavaScript
725,jbinfo,0,PHP
726,russelg,0,Python
727,layerssss,0,JavaScript
728,askari01,0,Swift
729,harryfei,0,Shell
730,rlishtaba,0,Ruby
731,animesh,1,Python
733,ClimbsRocks,0,JavaScript
734,guilhem,0,Go
735,qiugang,0,Java
736,liuyib,0,JavaScript
737,android-sos,0,JavaScript
738,bgriffith,0,JavaScript
739,djyadav,0,CSS
740,konklone,0,JavaScript
741,robert-wallis,0,Shell
742,panphora,0,JavaScript
744,luankevinferreira,0,Java
745,lan-qing,1,Python
746,lunaticmonk,0,JavaScript
747,berkanuslu,1,JavaScript
748,liyin2015,1,Python
749,Akinropo,1,Python
751,fed135,0,JavaScript
752,IKKIson,1,Python
753,poke19962008,0,Python
755,sktguha,0,JavaScript
756,Liklei,0,JavaScript
757,pgangwani,0,JavaScript
758,kopepasah,0,PHP
759,juliarozanova,1,Python
760,hualin95,1,Python
761,bobmoff,0,JavaScript
762,pb1672,1,Python
763,aleub,0,JavaScript
764,scarletcho,1,Python
766,EdwardMCastrillon,0,JavaScript
767,ayushgupt,1,JavaScript
768,fega,0,JavaScript
769,diegozea,1,Julia
770,infil00p,0,JavaScript
771,ValCapri,0,Ruby
772,meolu,1,HTML
773,KagamiChan,0,JavaScript
774,kunpengyao,1,MATLAB
775,bbenetskyy,0,C#
776,omridevk,0,JavaScript
778,adamroszyk,1,HTML
779,bilevg,1,R
780,tiagofontella,0,JavaScript
781,niksumeiko,0,JavaScript
782,bboulesteix,0,HTML
783,lcl22hope,0,Objective-C
784,Tommos0,1,JavaScript
785,jokapoa,0,PHP
786,isakrubin,0,PHP
787,sivsivsree,0,JavaScript
788,duchao0726,1,Python
789,gomesfellipe,1,R
790,onmotion,0,JavaScript
791,timkaye11,1,R
795,stevenup,0,JavaScript
796,lufutu,1,JavaScript
797,microsud,1,R
798,batazor,0,Go
799,alimranahmed,0,PHP
800,WinstonMarvel,0,JavaScript
803,cfree,0,JavaScript
804,kris-singh,1,Python
805,rahulrana95,0,JavaScript
806,eleijonmarck,1,Python
807,Mohitsharma44,1,Python
808,terell,0,JavaScript
809,lxcsjk,0,Java
