id,name,ml_target,bio,laguage,most_common_language
36575,thiagolopes,0,I identify as programmer,,Python
36576,lijingxiu,0,Beginning,,Objective-C
36579,the-akira,0,Programmer,,Python
36580,Akarshit,0,"Senior Software Dev
",,JavaScript
36581,RobertoAlbino,0,Software enthusiast,,HTML
36582,sayedrafeeq,0,"Hello, I'm Sayed Rafeeq from Hyderabad, India. Web developer, JavaScript Enthusiast, 🤓📚 Art & Design Lover. ❤️",,CSS
36583,debel,0,real bio as if supplied by a human :D,,JavaScript
36584,jlthai,0,Software Engineer,,Ruby
36585,PhilETaylor,0,Universally hated. Idiot.,,PHP
36586,andrewda,0,Pilot and open-source enthusiast.,,JavaScript
36587,miteshmap,0,Software Engineer,,PHP
36588,cbachini,0,"💨 A tiny troublemaker
💢 Web Developer since 1997
🌷 Amateur Gardener
🍰 Architect of Cakes
🍞 Post-Apocalyptic Baker
💕 Girl's Father Learner",,No languages detected
36589,Jma353,0,Eng @ Notion,,JavaScript
36590,Bin-Chen-Lab,1,"PI @ MSU. Interests: Big Data, AI, Therapeutic Discovery",,R
36591,khanhdodang,0,Code for fun,,JavaScript
36592,SouravInsights,0,I build React components & write state logic. Currently @pimlicolabs | Ex @rabbitholegg @gallery-so,,JavaScript
36593,poteirard,0,I write code and discuss things with ❤,,JavaScript
36595,felipepucinelli,0,undefined,,JavaScript
36596,accr,0,Inspiration runs the world.,,JavaScript
36597,AKBoles,1,"Data Analyst for Baylor University
Python and Power BI Enthusiast",,Python
36598,Fenscode,1,"Software Developer - Mobile <Android, Flutter, React Native/> I Hands-on with <Kotlin, Java, Python, Dart/> I The UoP Graduates 2021 I Tech Writer I UX Research",,Java
36599,clamorious,0,douglas.gelsleichter@gmail.com,,Kotlin
36600,nmarcetic,0,"Cloud-native evangelist, Co-author of @Mainflux / Full-time cosmonaut @InjectiveLabs 🪐
If I press the keyboard keys in the right order, I can do anything",,Go
36601,brentjanderson,0,"Husband, Father, Engineer @KnockLabs",,JavaScript
36602,duttakapil,0,"Love to learn, ask questions and solve problems ",,JavaScript
36603,ronflima,0,Experienced Software Writer | High Performance Software | I deliver business value,,C
36604,teslaji,0,"Full Stack Developer
",,JavaScript
36605,matasuke,1,"Text-to-speech, machine-translation, etc...
",,Python
36606,lamhoangtung,1,Machine Learning Engineer at WorldQuant,,Python
36608,brunopulis,0,"Quality Assurance focused in Acessibility, Public Speaker, Content Creator.

Founder of @acessibilidade-brasil, @qa-brasil ",,JavaScript
36610,abhiskaushik,0,Entrepreneur. Creating Ecosystem for Project Based Learning. Proficient in Deep NLP. Researching NLG. Talks on International relations & AI technologies.,,JavaScript
36611,chrpeter,0,Frontend @nrkno working with NRK TV,,JavaScript
36612,BenMaruchu,0,Software Engineer,,JavaScript
36613,hotzenklotz,0,"Co-Founder of @scalableminds
Full Stack Engineer |
Hop Head",,Shell
36614,nitesh009,0,Self Taught Programmer | Author | Novice Guitarist,,HTML
36617,josecarlosweb,0,"My specialization is software development, but my real motivation is to solve people's problems using the power of IT.",,JavaScript
36618,jonsherrard,0,Technology Consultant,,JavaScript
36619,idmeneo,0,"PHP, HTML, Wordpress, Prestashop, Laravel development.
I MAKE WEBSITES.",,JavaScript
36620,Kyubyong,1,"Lives in Seoul, Korea.
Studied Linguistics at SNU and Univ. of Hawaii.",,Python
36621,chafel,0,"You're never satisfied, are you? Will there ever be enough?",,JavaScript
36622,asimonf,0,"My experience as developer spans the spectrum between low-level programming and high-level programming.

",,Shell
36623,rafszul,0,fool - licence expired - turned outlaw - under the radar - industrial espionage - running with the wolves - illicit digital activities - possessed with fire,,HTML
36625,tiandawu,0,搬不好砖的程序员不是好司机！,,Java
36626,josepostiga,0,"Senior Backend Eng. @procuros / Prev. Staff Eng. @Infraspeak / Speaker, mentor, writer.
#php #go #soa #tdd #observability #architecture #mentoring",,PHP
36627,Yannyezixin,0,"life, coding",,CSS
36629,steevivo,0,Open source / Cloud / Docker / InfluxDB / Prometheus / DevOps / MLOps / AI systems,,Shell
36631,chrisjaure,0,"Feminist, web developer, cool person.",,JavaScript
36633,rogerthoang,0,Interest: .Net / React.js / Automating life with Python,,JavaScript
36634,chihyaoma,1,Senior Research Scientist at Meta #ComputerVision #DeepLearning,,Python
36635,impupindersingh,0,Senior Full Stack Developer,,JavaScript
36636,charlenezheng,0,Software Engineer,,Python
36637,eivindml,0,Creator at Mist—a one-man studio handcrafting apps and websites.,,JavaScript
36638,f3ndot,0,Software Developer on Hiatus,,Ruby
36639,phattv,0,Software Engineer,,JavaScript
36640,Puneet2000,1,Machine Learning | Computer Vision | Networks | Android Developer | Java and  Python | CSE @iit Hyderabad | Intern @adobe Noida.,,Python
36641,chanonpingpong,0,"Developer at Innovasive Co.,Ltd.",,HTML
36643,andreas83,0,"There is only one thing that makes a dream impossible to achieve: the fear of failure. - Paulo Coelho, The Alchemist ",,JavaScript
36645,jonisar,0,"Planet Earth, os of today...",,Shell
36647,nicolasSchirmer,0,In love with puzzles and how to solve them.,,Java
36648,sujinleeme,0,"Software Engineer
",,JavaScript
36649,ruipenso,0,VP of Product @uphold.,,JavaScript
36650,taurenshaman,0,"Knowledge Management.
@tunaltd
* https://lore.chuci.info/taurenshaman",,JavaScript
36655,simonprickett,0,I work as a leader in open source developer relations. Electronics hobbyist. Views are mine buy your own.,,JavaScript
36656,semihalev,0,"
    Father, Gopher
",,Go
36657,teamrit,0,typing...,,JavaScript
36658,fly2wind,0,"IT, Dev, Ops, DevOps...",,Shell
36659,BIGBird1994,1,web crawler  & app reverse,,Python
36660,micahnyc,0,I am Micah,,JavaScript
36661,henrytao-me,0,"Self-motivated, passionate about new technology, interested in mobile (Android, iOS) and AI, love to deliver high quality products. ",,JavaScript
36662,Nevergiveupp,0,You can do anything if you set your mind to it.,,Java
36663,Ciboulette,0,"Co-founder & CTO @tryriot -
Previously
Co-founder & CTO @zenaton",,JavaScript
36664,imcamilo,1,Software Engineer and Enthusiastic Programmer,,Scala
36665,deepsweet,0,"Head of Frontend, design systems architect, microfrontends composer, framework agnostic, definitely typed, core teams member, pair programmer.",,JavaScript
36666,ahawker,0,Pinball Wizard,,Makefile
36667,punitvara,1,#Machine Learning #AI,,Python
36668,simensen,0,Technology Strategy Consultant with @dflydev,,PHP
36669,aurangzaib,0,"- Electrical Engineer
- Machine Learning
- Computer Vision
- Robotics",,Python
36670,kj415j45,0,Full-stack developer (dart/TS/php). Translator (EN<->CHS).,,Shell
36672,mandarenmanman,0,考研ing,,Java
36673,YaoZeyuan,0,东风夜放花千树，山长水阔知何处,,JavaScript
36675,62Gerente,0,Co-founder & CEO @ HEALTHIUM,,JavaScript
36676,Sardhendu,1,Machine learning Engineer @ ZEFR,,Python
36677,aivxyz,1,"
    Developer Noob working in digital marketing.


",,JavaScript
36678,kindule,0,Engineer at a Startup,,Go
36679,scrummer,0,"24, Software Engineer @LabyMod & @dachcom-digital 💻 | CS Student 🎓",,PHP
36680,robink,0,Dernier Cri co-founder.,,JavaScript
36681,kaituoxu,1,"Speech recognition, punctuation prediction, speech separation and deep learning.",,Python
36683,babyak,1,"Senior Fullstack |
React, Next.js, Typescript, Nest.js, Express.js, Docker, Golang, gRPC, Python, Symfony, Laravel, Raspberry Pi",,JavaScript
36684,pkusp,1,他强由他强，清风拂山冈；他横任他横，明月照大江。,,Python
36685,rahulpnath,0,Programmer  | Blogger | YouTuber,,C#
