id,name,ml_target,bio
8209,JHurricane96,1,ML Research Engineer @mit-ll
8210,debaonline4u,1,"Master of Science (MS by Research) at Indian Institute of Technology (IIT) Mandi, Himachal Pradesh. "
8211,feilaoda,0,Show me the code.
8212,erayhanoglu,0,Innovative developer and co-founder of @panates
8213,fanmcgrady,1,Sichuan University
8214,roachmd,0,"Platform engineer->
Azure, GCP, AWS
TypeScript, Rust :: Terraform, Pulumi
"
8215,kimkevin,0,Software Engineer
8216,JRJurman,0,Software Engineer at Jellyfish. Member of Web-Components Community Group. Creator of Tram-One and Tram-Lite
8217,KaylaX,1,"Data science 😊
Always curious!
Connect with me at tongxiekk@gmail.com"
8218,fedeLarregle,1,"Web developer.
In my free time I like to learn about DBSM internals and game engine development."
8219,matthewharwood,0,Always Be Coding.🥒
8220,joicesena,0,information technology technician from cefet-mg and big front-end enthusiast!
8221,Esdeath,0,An iOS Engineer
8222,sebastiaanluca,0,Freelance Laravel & Vue developer 🌶
8223,hedtorresca,1,"I'm a statistician with an air of a philologist and of a movement artist.
Universidad Nacional de Colombia"
8224,POJOa,0,Bio not available
8225,andersevenrud,0,Viking with a Keyboard!
8226,rvanmil,0,Technology Officer @oliverit
8227,JaxXu,0,Bio not available
8228,amussey,1,"I'm a Senior Software Developer at @SironaMedical.  In my free time, I'm a videographer, hobbyist DJ, and lover of EDM."
8229,anjiang2016,1,"Computer Vision engineer.
CNN researcher."
8230,chriskol,1,Co-Founder @Fundmetric and Chapter Lead at @ladieslearningcode
8231,alexmanno,0,Tech Lead Cloud Engineer
8232,srdjan,0,Bio not available
8233,myloveCc,0,"生命不熄,奋斗不止~"
8234,arpane4c5,1,"Coder, Researcher and Teacher"
8235,F915,1,Nothing to worry about.
8236,cauethenorio,0,I enjoy building software people enjoy to use
8237,binaryPUNCH,0,Azure Landing Zone Engineer @LEGO ☁️
8238,killthekitten,0,Bio not available
8239,bruceCzK,0,Fullstack Engineer
8240,rraks,1,-
8241,submagr,1,I try to understand things deeply!
8242,skyverd,0,PM of @chuan-yun
8243,ismailrei,0,software engineer
8244,alejandrocq,0,Senior Software Developer at Geotab (@geotab).
8245,sachin1092,1,Programmer | Android and Linux Enthusiast
8246,SivanSong,0,枯藤老树昏鸦，小桥流水人家，古道西风瘦马。夕阳西下，断肠人在天涯。
8247,gonzaloplaza,0,SW Engineer @ Aircall
8248,ozeetee,0,Android Developer. Currently in Auckland NZ .
8249,mageddo,0,"Building Software, Making History.
"
8250,EricTendian,0,"Sr. Staff Software Engineer, @wpengine. Previously @packbackbooks, @clarifyeducation. Founder/radio geek, @CrimeIsDown. Nothing is impossible."
8251,flipflopapp,0,Bio not available
8252,V1ncNet,0,"Barista @ascii-dresden, Singer @kammerchor-wernigerode • Loves Spring, Web Development and Docker."
8253,rasecoiac03,0,Developing.
8254,junqiangchen,1,Focus On Medical Image，Deep Learning， Computer Vision and Virtual Reality.
8255,mit2nil,1,"Senior Software Engineer, Azure Support AI"
8256,Amokrane,1,Senior Engineer at Spotify.
8257,agarwal-akash,1,CS undergrad
8258,arnavgrg,1,"Machine Learning Engineer at Predibase. Maintaining Ludwig.ai.

See @arnavgarg1 for my latest work."
8259,Sufi-Al-Hussaini,0,Bio not available
